PARTIDO,DESPESAS
MDB,51078811.36
PP,43631160.4
PT,30932026.32
PTB,29515075.81
PSDB,28419152.4
PSB,26367998.85
PDT,24762614.18
PSD,17598097.05
PSOL,15607850.8
PODE,15306637.51
PL,12904233.35
REPUBLICANOS,12859736.18
PC do B,8095173.18
UNIÃO,7365588.64
DEM,4969477.51
CIDADANIA,4883008.29
NOVO,4811302.34
PSL,3647360.8
SDD,3443349.84
PV,2205168.5100000002
PSC,1950244.26
PROS,924820.97
DC,766770.65
REDE,555059.15
PRTB,485057.75
AVANTE,368752.72000000003
PRD,329772.83
PSTU,282606.67
UP,250922.6
PATRIOTA,185848.07
PPL,88660.02
PCB,66431.39
AGIR,12788.13
PHS,10390.779999999999
MOBILIZA,10236.01
