PARTIDO,ANO,RECEITA
AGIR,2017,1301.67
DEM,2017,676366.16
PSDB,2017,1453342.16
MDB,2017,3688717.52
PSC,2017,202192.16
PSB,2017,1403395.61
PROS,2017,13318.57
PPL,2017,4900.0
MOBILIZA,2017,1200.0
PP,2017,2981817.57
NOVO,2017,257761.97
PL,2017,24566.61
PHS,2017,2681.47
PDT,2017,2201882.31
PATRIOTA,2017,4370.0
PCB,2017,28369.0
PSL,2017,5324.3
PSOL,2017,382972.22
PSD,2017,606459.12
PV,2017,49195.31
SDD,2017,178185.34
AVANTE,2017,1247.0
REPUBLICANOS,2017,494373.82
REDE,2017,110582.89
CIDADANIA,2017,348726.04
PTB,2017,2223646.08
PC do B,2017,602744.47
PSTU,2017,80732.89
PT,2017,4004567.16
PT,2018,4260250.51
SDD,2018,286889.21
PCB,2018,29265.3
PSTU,2018,68577.87
PDT,2018,2623653.42
REPUBLICANOS,2018,2415346.26
PHS,2018,3338.15
PSDB,2018,2394550.23
PL,2018,28900.99
REDE,2018,109062.85
PODE,2018,1400.0
PP,2018,5236085.89
PV,2018,914021.08
PSOL,2018,1367988.23
PPL,2018,80924.81
PSD,2018,2932570.18
PROS,2018,189050.03
PTB,2018,3751804.66
PSB,2018,2965092.7
PC do B,2018,2104515.64
PSC,2018,222206.63
PSL,2018,214039.87
PRP,2018,9137.38
CIDADANIA,2018,514546.59
DEM,2018,691935.03
NOVO,2018,977327.29
AGIR,2018,3275.31
PATRIOTA,2018,6400.0
MDB,2018,10025414.65
DC,2018,171285.62
MOBILIZA,2018,11636.01
AVANTE,2018,800.5
REPUBLICANOS,2019,486275.21
AVANTE,2019,975.0
MOBILIZA,2019,1200.0
PODE,2019,36200.0
PROS,2019,7949.8
PSL,2019,474792.4
PV,2019,117456.27
PL,2019,105401.41
PP,2019,2653388.72
NOVO,2019,852903.34
PRP,2019,1625.0
PSD,2019,722707.54
PHS,2019,2245.44
PSTU,2019,43638.0
REDE,2019,25883.73
AGIR,2019,9483.94
PTB,2019,2600513.25
PATRIOTA,2019,8702.0
PC do B,2019,470448.54
PSC,2019,109849.75
PT,2019,3875197.08
DEM,2019,739903.23
PCB,2019,7150.0
MDB,2019,4352187.58
PSB,2019,2640048.23
PSOL,2019,729089.85
PSDB,2019,3484855.22
