PARTIDO,RECEITA
MDB,47501082.55
PP,44418525.98
PSB,34147987.41
PSDB,31432320.82
PT,30572427.65
PTB,29506186.51
PDT,25863693.76
PSOL,19233114.82
PODE,19100730.83
PSD,18249678.47
PL,16186374.19
REPUBLICANOS,15558630.53
PSL,9694754.87
PC do B,8448118.54
UNIÃO,8054028.74
DEM,4979246.65
CIDADANIA,4969839.0
NOVO,4458237.99
SDD,3762304.89
PV,3060469.46
PSC,2158029.44
PROS,987263.2
REDE,971247.03
DC,761350.68
PRTB,521502.78
AVANTE,460032.22
PSTU,368467.14
UP,356375.99
PRD,342195.04
PATRIOTA,199812.91
PCB,110562.7
PPL,85824.81
MOBILIZA,15236.01
AGIR,14060.92
PRP,10762.38
PHS,8865.06
